. . . . N N N N N N N N D D D D D D D D D D D D D . . . . .
. . . . N N N N N N N N N N N N N N N N N N N N N . . . . .
. . . . N N N N N N N N N N N N N N N N N N N N N . . . . .
. . . . N N N N N N N N N N N N N N N N N N N N N . . . . .
N N N N N N N N N N N N N N N N N N N N N N N N N . . . . .
N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N
N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N
N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N
N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N
N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N
N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N
N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N
N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N
N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N
L R L R L R L R L R L R L R L R L R L R L R L R L R L R L R
L R L R L R L R L R L R L R L R L R L R L R L R L R L R L R
